Name,SKU,Category,cost,available in pos,active,uom_id,Pos Category,vendor,min,max
ميال اكسترا مالح,maiab001,ميال وابيض,3.1,yes,TRUE,kg,ميال وابيض,Abo Johny,5,15
ميال اكسترا حلو,maiab002,ميال وابيض,3.28,yes,TRUE,kg,ميال وابيض,Abo Johny,5,15
بزر ابيض اكسترا,maiab003,ميال وابيض,4.63,yes,TRUE,kg,ميال وابيض,Abo Johny,5,15
بزرابيض A3,maiab004,ميال وابيض,3.69,yes,TRUE,kg,ميال وابيض,Abo Johny,5,15
بزر ابيض حلو,maiab005,ميال وابيض,5.57,yes,TRUE,kg,ميال وابيض,Abo Johny,5,15
بزر كوسا اكسترا,maiab006,ميال وابيض,4.42,yes,TRUE,kg,ميال وابيض,Abo Johny,5,15
بزر كوسا حلو,maiab007,ميال وابيض,4.99,yes,TRUE,kg,ميال وابيض,Abo Johny,5,15
لب ميال محمّص,maiab008,ميال وابيض,3.05,yes,TRUE,kg,ميال وابيض,Abo Johny,5,15
لب ابيض محمص,maiab009,ميال وابيض,5.28,yes,TRUE,kg,ميال وابيض,Abo Johny,5,15
فستق سوداني,fsthom001,فستق وحمص,5.01,yes,TRUE,kg,فستق وحمص,Abo Johny,5,15
فستق صاج,fsthom002,فستق وحمص,4.91,yes,TRUE,kg,فستق وحمص,Abo Johny,5,15
فستق مغبر,fsthom003,فستق وحمص,4.91,yes,TRUE,kg,فستق وحمص,Abo Johny,5,15
فستق مدخن,fsthom004,فستق وحمص,5.22,yes,TRUE,kg,فستق وحمص,Abo Johny,5,15
فستق بقشره,fsthom005,فستق وحمص,2.89,yes,TRUE,kg,فستق وحمص,Abo Johny,5,15
فستق سوداني اكسترا,fsthom006,فستق وحمص,4.91,yes,TRUE,kg,فستق وحمص,Abo Johny,5,15
صويا,fsthom007,فستق وحمص,1.28,yes,TRUE,kg,فستق وحمص,Abo Johny,5,15
صفرا فحلة,fsthom008,فستق وحمص,3.78,yes,TRUE,kg,فستق وحمص,Abo Johny,5,15
صفرا فحلة مدخنة,fsthom009,فستق وحمص,4.08,yes,TRUE,kg,فستق وحمص,Abo Johny,5,15
قضامة مدخنة,fsthom010,فستق وحمص,4.79,yes,TRUE,kg,فستق وحمص,Abo Johny,5,15
